,a-b-orig,a-b-rebasin,b-orig-b-rebasin
61,2.2798510915555132,2.261266136321778,2.275514419848165
62,2.279150472281459,2.260543674706651,2.2744927490100313
63,2.2783792772993876,2.2597166577848,2.273382337710347
64,2.277529346295439,2.2587883700958837,2.2721863448048554
65,2.27659399364703,2.257764244231934,2.270904822852284
66,2.2755635401692254,2.256643803355793,2.2695371670463977
67,2.27442616319504,2.2554308400748257,2.268087049642691
68,2.2731860834188735,2.254142212029844,2.2665606657156165
69,2.271838233874629,2.252767402143143,2.264968385330785
70,2.2703870835776527,2.251312731173092,2.26331011479655
71,2.26884028705926,2.249796419478834,2.2615960108967252
72,2.2672057029919124,2.2482203568894263,2.259831845189055
73,2.2654857864014257,2.246598024337817,2.258020612759331
74,2.2636945727534186,2.2449512451220626,2.256171851112439
75,2.261841127285942,2.243297764287589,2.2542902768229522
76,2.2599350743400404,2.241639666663953,2.2523897791061156
77,2.2579802499411588,2.23998602282125,2.250477464054339
78,2.2559879161298464,2.238356221598177,2.2485631746225083
79,2.253966548572333,2.23676440281609,2.2466531607289664
80,2.2519259452819824,2.2352226610762624,2.244761501257412
81,2.249876205151835,2.2337437064502947,2.2428986561564974
82,2.2478310543889055,2.2323302902733557,2.2410688537378283
83,2.245800082295086,2.230986234098197,2.239276225574481
84,2.243794268312546,2.2297139167785645,2.237527608109739
85,2.24181859028606,2.2285150430453853,2.235829557473667
86,2.239876421876609,2.2273830560068735,2.2341890274145353
87,2.237975579862016,2.226319540803806,2.2326069144776075
88,2.2361235100621233,2.225318650468089,2.2310883579924465
89,2.234320878982544,2.224375784206695,2.2296376822474664
90,2.232571938548225,2.223490083560395,2.2282551134737156
91,2.230876083952931,2.2226629828492674,2.2269401458886486
92,2.2292390562855777,2.2218958585026165,2.225694583246883
93,2.227664200261759,2.221189006829795,2.2245185169549035
94,2.226155162238465,2.220542105622947,2.2234115501562246
95,2.224712409912207,2.219951571747899,2.2223738664255355
96,2.223337001313036,2.2194167143239762,2.2214040573412617
97,2.2220307295314803,2.2189348315278563,2.220500124910007
98,2.2207941536705333,2.218502929035467,2.219659359691242
99,2.21962442717994,2.2181203014934407,2.218879397303913
100,2.217486890360189,2.2174868895984687,2.2174868895984687
