,a-b-rebasin,a-b-orig,b-orig-b-rebasin
83,1.0593814849853516,1.0665385723114014,1.0125887393951416
84,1.0532764196395874,1.0597155094146729,1.010885238647461
85,1.048031210899353,1.0533080101013184,1.0097543001174927
86,1.0438761711120605,1.0468143224716187,1.0090534687042236
87,1.0386602878570557,1.041471004486084,1.007614016532898
88,1.0340207815170288,1.0366002321243286,1.0070626735687256
89,1.029895544052124,1.0321733951568604,1.0066677331924438
90,1.026535987854004,1.0279057025909424,1.0054843425750732
91,1.0234644412994385,1.0240564346313477,1.0048282146453857
92,1.0193777084350586,1.0204453468322754,1.0044384002685547
93,1.016618013381958,1.0174601078033447,1.0042145252227783
94,1.0145659446716309,1.0144240856170654,1.0035078525543213
95,1.0110538005828857,1.0127370357513428,1.004529356956482
96,1.0091338157653809,1.0101826190948486,1.002676010131836
97,1.00796377658844,1.0075730085372925,1.0026617050170898
98,1.0056451559066772,1.0064473152160645,1.0032145977020264
99,1.00393545627594,1.0057079792022705,1.002593755722046
100,1.0030475854873657,1.002723217010498,1.0030475854873657
