distribution,ksize,sample_num,eigvec_angle
uniform,50,3,86.61328125
gaussian,50,3,87.51461029052734
dirac,50,3,88.20000457763672
orthogonal,50,3,88.8629379272461
sparse0.5,50,3,87.8644027709961
uniform,50,4,87.53567504882812
gaussian,50,4,87.82698822021484
dirac,50,4,88.20000457763672
orthogonal,50,4,88.14306640625
sparse0.5,50,4,88.3302230834961
uniform,50,5,86.94005584716797
gaussian,50,5,88.8177261352539
dirac,50,5,88.20000457763672
orthogonal,50,5,88.2745590209961
sparse0.5,50,5,88.66874694824219
uniform,50,6,87.0614013671875
gaussian,50,6,88.47505950927734
dirac,50,6,88.20000457763672
orthogonal,50,6,88.98001861572266
sparse0.5,50,6,88.8831787109375
uniform,60,1,88.0306167602539
gaussian,60,1,88.50456237792969
dirac,60,1,88.5
orthogonal,60,1,88.15320587158203
sparse0.5,60,1,89.4307861328125
uniform,60,2,87.40663146972656
gaussian,60,2,87.42918395996094
dirac,60,2,88.5
orthogonal,60,2,88.51673889160156
sparse0.5,60,2,88.36422729492188
uniform,60,3,87.8640365600586
gaussian,60,3,90.08190155029297
dirac,60,3,88.5
orthogonal,60,3,88.41702270507812
sparse0.5,60,3,88.48197174072266
uniform,60,4,88.4400863647461
gaussian,60,4,88.89826965332031
dirac,60,4,88.5
orthogonal,60,4,87.8283920288086
sparse0.5,60,4,88.35942077636719
uniform,60,5,88.07877349853516
gaussian,60,5,87.942138671875
dirac,60,5,88.5
orthogonal,60,5,87.98758697509766
sparse0.5,60,5,88.36349487304688
uniform,60,6,87.6423110961914
gaussian,60,6,88.13104248046875
dirac,60,6,88.5
orthogonal,60,6,89.2920913696289
sparse0.5,60,6,88.49349212646484
uniform,70,1,86.749267578125
gaussian,70,1,90.61591339111328
dirac,70,1,88.71428680419922
orthogonal,70,1,88.91630554199219
sparse0.5,70,1,89.27920532226562
uniform,70,2,89.08464813232422
gaussian,70,2,89.0018081665039
dirac,70,2,88.71428680419922
orthogonal,70,2,90.27049255371094
sparse0.5,70,2,89.0885238647461
uniform,70,3,88.47782135009766
gaussian,70,3,89.38101196289062
dirac,70,3,88.71428680419922
orthogonal,70,3,88.48416900634766
sparse0.5,70,3,89.05978393554688
uniform,70,4,88.20388793945312
gaussian,70,4,87.99302673339844
dirac,70,4,88.71428680419922
orthogonal,70,4,88.09547424316406
sparse0.5,70,4,88.42219543457031
uniform,70,5,88.01258850097656
gaussian,70,5,88.71812438964844
dirac,70,5,88.71428680419922
